evaluation,source_language,language,pass@1,pass@1_se,pass@5,pass@5_se
qwen3.5,python,rust,0.352439,0.022880,0.585366,0.000000
qwen3.5,rust,cpp,0.717073,0.018333,0.859756,0.000000
qwen3.5,rust,go,0.465854,0.023267,0.713415,0.000000
qwen3.5,rust,java,0.750000,0.018971,0.871951,0.000000
qwen3.5,rust,js,0.643902,0.022221,0.829268,0.000000
qwen3.5,rust,python,0.781707,0.016721,0.865854,0.000000
qwen3.5,ALL,total,0.639837,0.003571,0.786789,0.000000
qwen3.5_grpo_reward30b,cpp,go,0.587805,0.017333,0.713415,0.000000
qwen3.5_grpo_reward30b,cpp,java,0.859756,0.008623,0.884146,0.000000
qwen3.5_grpo_reward30b,cpp,js,0.797561,0.009756,0.835366,0.000000
qwen3.5_grpo_reward30b,cpp,python,0.774390,0.011569,0.829268,0.000000
qwen3.5_grpo_reward30b,cpp,rust,0.373171,0.028181,0.689024,0.000000
qwen3.5_grpo_reward30b,go,cpp,0.714634,0.015617,0.823171,0.000000
qwen3.5_grpo_reward30b,go,java,0.828049,0.009288,0.859756,0.000000
qwen3.5_grpo_reward30b,go,js,0.851220,0.011697,0.908537,0.000000
qwen3.5_grpo_reward30b,go,python,0.878049,0.010491,0.914634,0.000000
qwen3.5_grpo_reward30b,go,rust,0.336585,0.027105,0.646341,0.000000
qwen3.5_grpo_reward30b,java,cpp,0.756098,0.013247,0.829268,0.000000
qwen3.5_grpo_reward30b,java,go,0.598780,0.016361,0.701220,0.000000
qwen3.5_grpo_reward30b,java,js,0.900000,0.010631,0.939024,0.000000
qwen3.5_grpo_reward30b,java,python,0.859756,0.008962,0.890244,0.000000
qwen3.5_grpo_reward30b,java,rust,0.352439,0.028339,0.682927,0.000000
qwen3.5_grpo_reward30b,js,cpp,0.769512,0.014836,0.853659,0.000000
qwen3.5_grpo_reward30b,js,go,0.662195,0.017247,0.786585,0.000000
qwen3.5_grpo_reward30b,js,java,0.831707,0.012195,0.884146,0.000000
qwen3.5_grpo_reward30b,js,python,0.865854,0.008794,0.902439,0.000000
qwen3.5_grpo_reward30b,js,rust,0.347561,0.027594,0.652439,0.000000
qwen3.5_grpo_reward30b,python,cpp,0.689024,0.013359,0.756098,0.000000
qwen3.5_grpo_reward30b,python,go,0.550000,0.014836,0.634146,0.000000
qwen3.5_grpo_reward30b,python,java,0.800000,0.010348,0.835366,0.000000
qwen3.5_grpo_reward30b,python,js,0.843902,0.012556,0.914634,0.000000
qwen3.5_grpo_reward30b,python,rust,0.329268,0.026829,0.615854,0.000000
qwen3.5_grpo_reward30b,rust,cpp,0.812195,0.013135,0.878049,0.000000
qwen3.5_grpo_reward30b,rust,go,0.530488,0.018088,0.664634,0.000000
qwen3.5_grpo_reward30b,rust,java,0.813415,0.011569,0.865854,0.000000
qwen3.5_grpo_reward30b,rust,js,0.748780,0.010908,0.792683,0.000000
qwen3.5_grpo_reward30b,rust,python,0.804878,0.011177,0.847561,0.000000
qwen3.5_grpo_reward30b,ALL,total,0.695569,0.002966,0.801016,0.000000
qwen3.5_grpo_reward7b,cpp,go,0.553659,0.018575,0.695122,0.000000
qwen3.5_grpo_reward7b,cpp,java,0.731707,0.016452,0.841463,0.000000
qwen3.5_grpo_reward7b,cpp,js,0.758537,0.015329,0.853659,0.000000
qwen3.5_grpo_reward7b,cpp,python,0.708537,0.015232,0.804878,0.000000
qwen3.5_grpo_reward7b,cpp,rust,0.347561,0.028962,0.689024,0.000000
qwen3.5_grpo_reward7b,go,cpp,0.701220,0.018655,0.835366,0.000000
qwen3.5_grpo_reward7b,go,java,0.753659,0.015329,0.841463,0.000000
qwen3.5_grpo_reward7b,go,js,0.784146,0.015617,0.871951,0.000000
qwen3.5_grpo_reward7b,go,python,0.800000,0.013905,0.865854,0.000000
qwen3.5_grpo_reward7b,go,rust,0.290244,0.026607,0.603659,0.000000
qwen3.5_grpo_reward7b,java,cpp,0.750000,0.017160,0.853659,0.000000
qwen3.5_grpo_reward7b,java,go,0.607317,0.018893,0.750000,0.000000
qwen3.5_grpo_reward7b,java,js,0.832927,0.014011,0.896341,0.000000
qwen3.5_grpo_reward7b,java,python,0.806098,0.014429,0.890244,0.000000
qwen3.5_grpo_reward7b,java,rust,0.295122,0.026551,0.615854,0.000000
qwen3.5_grpo_reward7b,js,cpp,0.745122,0.017073,0.853659,0.000000
qwen3.5_grpo_reward7b,js,go,0.682927,0.020624,0.835366,0.000000
qwen3.5_grpo_reward7b,js,java,0.806098,0.015712,0.908537,0.000000
qwen3.5_grpo_reward7b,js,python,0.823171,0.012437,0.896341,0.000000
qwen3.5_grpo_reward7b,js,rust,0.310976,0.029822,0.707317,0.000000
qwen3.5_grpo_reward7b,python,cpp,0.667073,0.018495,0.792683,0.000000
qwen3.5_grpo_reward7b,python,go,0.568293,0.019890,0.731707,0.000000
qwen3.5_grpo_reward7b,python,java,0.754878,0.015617,0.841463,0.000000
qwen3.5_grpo_reward7b,python,js,0.836585,0.011949,0.896341,0.000000
qwen3.5_grpo_reward7b,python,rust,0.301220,0.027863,0.621951,0.000000
qwen3.5_grpo_reward7b,rust,cpp,0.743902,0.014936,0.841463,0.000000
qwen3.5_grpo_reward7b,rust,go,0.551220,0.019740,0.707317,0.000000
qwen3.5_grpo_reward7b,rust,java,0.703659,0.017756,0.829268,0.000000
qwen3.5_grpo_reward7b,rust,js,0.695122,0.016179,0.798780,0.000000
qwen3.5_grpo_reward7b,rust,python,0.714634,0.016898,0.835366,0.000000
qwen3.5_grpo_reward7b,ALL,total,0.654187,0.003463,0.800203,0.000000
qwen3.5_grpo_reward80b,cpp,go,0.585366,0.011569,0.652439,0.000000
qwen3.5_grpo_reward80b,cpp,java,0.878049,0.008623,0.902439,0.000000
qwen3.5_grpo_reward80b,cpp,js,0.775610,0.012195,0.835366,0.000000
qwen3.5_grpo_reward80b,cpp,python,0.776829,0.011949,0.835366,0.000000
qwen3.5_grpo_reward80b,cpp,rust,0.395122,0.022815,0.567073,0.000000
qwen3.5_grpo_reward80b,go,cpp,0.704878,0.013470,0.774390,0.000000
qwen3.5_grpo_reward80b,go,java,0.770732,0.009602,0.810976,0.000000
qwen3.5_grpo_reward80b,go,js,0.841463,0.011697,0.890244,0.000000
qwen3.5_grpo_reward80b,go,python,0.878049,0.010491,0.926829,0.000000
qwen3.5_grpo_reward80b,go,rust,0.363415,0.023773,0.554878,0.000000
